mag,location,name,date,time,lat,lon,ref,img,url
"9,5","Bio-Bio, Chile",Valdivia Earthquake,5/22/60,19:11,"38,14°S","73,41°W","Kanamori & Anderson, 1975",http://www.memoriachilena.cl/602/articles-71080_thumbnail.thumb_iTwitter.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19600522191120_30
"9,2",Southern Alaska,1964 Great Alaska Earthquake,3/28/64,3:36,"60,91°N","147,34°W","Kanamori & Anderson, 1975",https://upload.wikimedia.org/wikipedia/commons/4/4e/AlaskaQuake-FourthAve.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19640328033616_30
"9,1",Off the West Coast of Northern Sumatra,Sumatra-Andaman Islands Earthquake,12/26/04,0:58,"3,30°N","95,98°E","Duputel et al., 2012",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/US_Navy_050102-N-9593M-040_A_village_near_the_coast_of_Sumatra_lays_in_ruin_after_the_Tsunami_that_struck_South_East_Asia.jpg/1200px-US_Navy_050102-N-9593M-040_A_village_near_the_coast_of_Sumatra_lays_in_ruin_after_the_Tsunami_that_struck_South_East_Asia.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20041226005853450_30
"9,1","Near the East Coast of Honshu, Japan",Tohoku Earthquake,3/11/11,5:46,"38,30°N","142,37°E","Duputel et al., 2012",http://www.japansociety.org.uk/wp-content/uploads/2011/03/191102_182750075103717_182740125104712_433276_3988833_o1.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20110311054624120_30
9,"Off the East Coast of the Kamchatka Peninsula, Russia",Kamchatka,11/4/52,16:58,"52,62°N","159,78°E","Kanamori, 1976",https://st-listas.20minutos.es/images/2011-03/280963/2928171_640px.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19521104165830_30
"8,8","Offshore Bio-Bio, Chile",Maule Earthquake,2/27/10,6:34,"36,12°S","72,90°W","Duputel et al., 2012",http://news.bbc.co.uk/media/images/47395000/jpg/_47395769_008864239-1.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20100227063411530_30
"8,8",Near the Coast of Ecuador,1906 Ecuador–Colombia Earthquake,1/31/06,15:36,"0,96°N","79,37°W","Kanamori, 1977",https://img.gestion.pe/files/ec_article_multimedia_gallery/uploads/2017/11/15/5a0c73248a913.jpeg,https://earthquake.usgs.gov/earthquakes/eventpage/official19060131153610_30
"8,7","Rat Islands, Aleutian Islands, Alaska",Rat Islands Earthquake,2/4/65,5:01,"51,25°N","178,72°E","Kanamori & Anderson, 1975",https://i.pinimg.com/originals/3d/4b/f5/3d4bf57c211239b8affd914c28071e53.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19650204050122_30
"8,6",Eastern Xizang-India border region,"Assam, Tibet",8/15/50,14:09,"28,36°N","96,45°E","Kanamori, 1977",http://www.hi-likes.com/cms/fotoalbum/3070.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19500815140934_30
"8,6",off the West Coast of Northern Sumatra,,4/11/12,8:39,"2,33°N","93,06°E","Duputel et al., 2012",https://i.ytimg.com/vi/dTMGWeBK1Yg/maxresdefault.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20120411083836720_20
"8,6","Northern Sumatra, Indonesia",Nias Earthquake,3/28/05,16:10,"2,09°N","97,11°E",NEIC,https://static1.squarespace.com/static/53e8c019e4b0e71a10da0a32/54c91a85e4b0c5c030d94778/54c91b37e4b05d3d3a1f1e85/1422543809509/BandaAcehFinal02.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20050328160936530_30
"8,6","Andreanof Islands, Aleutian Islands, Alaska",,3/9/57,14:23,"51,50°N","175,63°W","Johnson et al., 1994",https://secure-images.rarenewspapers.com/ebayimgs/4.42.2009/image042.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19570309142233_30
